Stage,RecommendedLevel,RequiredStrength,LevelAtRequiredStrength,StrengthAtRecommendedLevel,Wall1,Wall2,Wall3,Wall4,BossMaxHP,RewardWin,World2Wall1,World2Wall2,World2Wall3,World2Wall4,World2BossHP
1,8,50,3,180,100,125,150,200,250,1,2500000,3125000,3750000,5000000,6250000
2,10,100,5,280,300,325,350,425,500,3,7500000,8125000,8750000,10625000,12500000
3,15,300,10,525,600,750,900,1200,1500,5,15000000,18750000,22500000,30000000,37500000
4,20,1500,20,1500,3000,3750,4500,6000,7500,10,75000000,93750000,112500000,150000000,187500000
5,25,3500,25,3500,7000,8750,10500,14000,17500,30,175000000,218750000,262500000,350000000,437500000
6,30,9000,30,9000,18000,22500,27000,36000,45000,75,105125000,210250000,315375000,420500000,2500000000
7,35,25000,35,25000,50000,62500,75000,100000,125000,150,144500000,289000000,433500000,578000000,8750000000
8,40,60000,40,60000,120000,150000,180000,240000,300000,300,190125000,380250000,570375000,760500000,25000000000
9,45,130000,45,130000,260000,325000,390000,520000,650000,750,242000000,484000000,726000000,968000000,75000000000
10,50,250000,50,250000,500000,625000,750000,1000000,1250000,1000,300125000,600250000,900375000,1200500000,250000000000

