Level,RequiredStrength,IncreaseFromPreviousLevel,IsAnchor
51,319000,69000,false
52,463000,144000,false
53,671000,208000,false
54,932000,261000,false
55,1235000,303000,false
56,1569000,334000,false
57,1924000,355000,false
58,2287000,363000,false
59,2650000,363000,false
60,3000000,350000,true
61,3351000,351000,false
62,3724000,373000,false
63,4118000,394000,false
64,4530000,412000,false
65,4961000,431000,false
66,5408000,447000,false
67,5871000,463000,false
68,6349000,478000,false
69,6840000,491000,false
70,7343000,503000,false
71,7857000,514000,false
72,8381000,524000,false
73,8914000,533000,false
74,9454000,540000,false
75,10000000,546000,true
76,10543000,543000,false
77,11080000,537000,false
78,11614000,534000,false
79,12153000,539000,false
80,12702000,549000,false
81,13266000,564000,false
82,13852000,586000,false
83,14465000,613000,false
84,15111000,646000,false
85,15795000,684000,false
86,16524000,729000,false
87,17304000,780000,false
88,18139000,835000,false
89,19036000,897000,false
90,20000000,964000,true
91,21098000,1098000,false
92,22382000,1284000,false
93,23840000,1458000,false
94,25458000,1618000,false
95,27222000,1764000,false
96,29120000,1898000,false
97,31138000,2018000,false
98,33262000,2124000,false
99,35480000,2218000,false
100,37778000,2298000,false
101,40142000,2364000,false
102,42560000,2418000,false
103,45018000,2458000,false
104,47502000,2484000,false
105,50000000,2498000,true
106,52568000,2568000,false
107,55269000,2701000,false
108,58098000,2829000,false
109,61049000,2951000,false
110,64116000,3067000,false
111,67294000,3178000,false
112,70578000,3284000,false
113,73963000,3385000,false
114,77442000,3479000,false
115,81010000,3568000,false
116,84662000,3652000,false
117,88392000,3730000,false
118,92196000,3804000,false
119,96067000,3871000,false
120,100000000,3933000,true
121,103910000,3910000,false
122,107737000,3827000,false
123,111513000,3776000,false
124,115273000,3760000,false
125,119048000,3775000,false
126,122873000,3825000,false
127,126779000,3906000,false
128,130800000,4021000,false
129,134968000,4168000,false
130,139317000,4349000,false
131,143880000,4563000,false
132,148690000,4810000,false
133,153779000,5089000,false
134,159181000,5402000,false
135,164928000,5747000,false
136,171053000,6125000,false
137,177591000,6538000,false
138,184572000,6981000,false
139,192031000,7459000,false
140,200000000,7969000,true
141,209441000,9441000,false
142,221171000,11730000,false
143,235012000,13841000,false
144,250782000,15770000,false
145,268301000,17519000,false
146,287388000,19087000,false
147,307864000,20476000,false
148,329548000,21684000,false
149,352259000,22711000,false
150,375817000,23558000,false
151,400042000,24225000,false
152,424753000,24711000,false
153,449770000,25017000,false
154,474912000,25142000,false
155,500000000,25088000,true
156,525383000,25383000,false
157,551580000,26197000,false
158,578667000,27087000,false
159,606716000,28049000,false
160,635802000,29086000,false
161,666000000,30198000,false
162,697383000,31383000,false
163,730025000,32642000,false
164,764000000,33975000,false
165,799383000,35383000,false
166,836247000,36864000,false
167,874667000,38420000,false
168,914716000,40049000,false
169,956469000,41753000,false
170,1000000000,43531000,true
171,1045235000,45235000,false
172,1092247000,47012000,false
173,1141333000,49086000,false
174,1192790000,51457000,false
175,1246914000,54124000,false
176,1304000000,57086000,false
177,1364346000,60346000,false
178,1428247000,63901000,false
179,1496000000,67753000,false
180,1567901000,71901000,false
181,1644247000,76346000,false
182,1725333000,81086000,false
183,1811457000,86124000,false
184,1902914000,91457000,false
185,2000000000,97086000,true
186,2109778000,109778000,false
187,2238222000,128444000,false
188,2384000000,145778000,false
189,2545778000,161778000,false
190,2722222000,176444000,false
191,2912000000,189778000,false
192,3113778000,201778000,false
193,3326222000,212444000,false
194,3548000000,221778000,false
195,3777778000,229778000,false
196,4014222000,236444000,false
197,4256000000,241778000,false
198,4501778000,245778000,false
199,4750222000,248444000,false
200,5000000000,249778000,true
