Level,RequirementToNext,CumulativeToReachLevel
1,10,0
2,30,10
3,50,40
4,70,90
5,90,160
6,125,250
7,155,375
8,190,530
9,235,720
10,290,955
11,330,1245
12,375,1575
13,420,1950
14,470,2370
15,535,2840
16,610,3375
17,760,3985
18,1110,4745
19,1360,5855
20,1510,7215
21,1760,8725
22,2010,10485
23,2260,12495
24,2510,14755
25,3010,17265
26,3510,20275
27,4010,23785
28,4510,27795
29,5010,32305
30,6010,37315
31,7510,43325
32,9010,50835
33,10010,59845
34,12010,69855
35,15010,81865
36,18010,96875
37,22010,114885
38,27010,136895
39,33010,163905
40,40010,196915
41,45010,236925
42,52010,281935
43,60010,333945
44,69010,393955
45,80010,462965
46,95010,542975
47,105010,637985
48,125010,742995
49,150010,868005
50,200010,1018015
