Stage,RecommendedLevel,LevelCumulativeStrength,StudioRequiredStrength,RequiredOverLevelStrength,Wall1HP,Wall2HP,Wall3HP,Wall4HP,BossMaxHP,TrophyWin,CumulativeWin,DoubleWinCumulative,PrimaryTreadmillAtRebirth0,MuscleStageAtLevelStrength
1,8,530,75,0.142,100,125,150,200,375,1,1,2,Normal x1,5
2,10,955,750,0.785,300,325,350,425,3750,3,4,8,Normal x1,5
3,15,2840,3000,1.056,600,750,900,1200,15000,10,14,28,Normal x1,7
4,20,7215,7500,1.040,3000,3750,4500,6000,37500,30,44,88,Normal x1,8
5,25,17265,15000,0.869,7000,8750,10500,14000,75000,50,94,188,Normal x1,10
6,30,37315,37315,1.000,74630,93287.5,111945,149260,186575,100,194,388,Normal x1,9
7,35,81865,81865,1.000,163730,204662.5,245595,327460,409325,300,494,988,Normal x1,10
8,40,196915,196915,1.000,393830,492287.5,590745,787660,984575,750,1244,2488,Normal x1,10
9,45,462965,462965,1.000,925930,1157412.5,1388895,1851860,2314825,1000,2244,4488,Normal x1,10
10,50,1018015,1018015,1.000,2036030,2545037.5,3054045,4072060,5090075,3000,5244,10488,Normal x1,10
