Stage,RecommendedLevel,RequiredStrength,Wall1HP,Wall2HP,Wall3HP,Wall4HP,BossMaxHP
1,60,3000000,6000000,7500000,9000000,12000000,15000000
2,75,10000000,20000000,25000000,30000000,40000000,50000000
3,90,20000000,40000000,50000000,60000000,80000000,100000000
4,105,50000000,100000000,125000000,150000000,200000000,250000000
5,120,100000000,200000000,250000000,300000000,400000000,500000000
6,140,200000000,400000000,500000000,600000000,800000000,1000000000
7,155,500000000,1000000000,1250000000,1500000000,2000000000,2500000000
8,170,1000000000,2000000000,2500000000,3000000000,4000000000,5000000000
9,185,2000000000,4000000000,5000000000,6000000000,8000000000,10000000000
10,200,5000000000,10000000000,12500000000,15000000000,20000000000,25000000000
